Sicherheitenartenschlüssel;Sicherheitenartenbezeichnung
111;BuG - Buchgrundschuld
112;BrG - Briefgrundschuld
113;EBrG - Eigentümerbriefgrundschuld
114;EBuG - Eigentümerbuchgrundschuld
121;GBuG - Gesamt-Buchgrundschuld
122;GBrG - Gesamt-Briefgrundschuld
123;GEBrG - Gesamt-Eigentümerbriefgrundschuld
124;GEBuG - Gesamt-Eigentümerbuchgrundschuld
125;GGs-pa-nb - Gesamtgrundschuld privatschriftlich abgetreten notariell beglaubigt
126;GGs-pa - Gesamtgrundschuld privatschriftlich abgetreten
127;GGs-Sv - Gesamtgrundschuld Sicherungsvereinbarung
128;GGS-Tv - Gesamtgrundschuld Treuhandvereinbarung
129;GGS-no - Gesamtgrundschuld notariell abgetreten
131;BuHyp - Buchhypothek
132;BrHyp - Briefhypothek
133;SiHyp - Sicherungshypothek
134;SchHyp - Schiffshypothek
141;GBuHyp - Gesamt-Buchhypothek
142;GBrHyp - Gesamt-Briefhypothek
143;GSiHyp - Gesamt-Sicherungshypothek
144;GHyp-pa-nb - Gesamthypothek  privatschriftlich abgetreten notariell beglaubigt
145;GHyp-pa - Gesamthypothek privatschriftlich abgetreten
146;GHyp-Sv - Gesamthypothek Sicherungsvereinbarung
147;GHyp-Tv - Gesamthypothek Treuhandvereinbarung
148;GHyp-no - Gesamthypothek notariell abgetreten
150;Rs - Rentenschuld
151;Rentenschuld privatschriftlich abgetreten
152;Rentenschuld Treuhandvereinbarung
153;Rentenschuld notariell abgetreten
154;Rentenschuld Sicherungsvereinbarung
155;Sonstige Grundpfandrechte privatschriftlich abgetreten
156;Sonstige Grundpfandrechte Treuhandvereinbarung
157;Sonstige Grundpfandrechte notariell abgetreten
158;Sonstige Grundpfandrechte Sicherungsvereinbarung
161;Buchgrundschuld, privatschriftlich abgetreten
162;Briefgrundschuld, privatschriftlich abgetreten
163;Eigentümerbriefgrundschuld, privatschriftlich abgetreten
164;Eigentümerbuchgrundschuld, privatschriftlich abgetreten
165;Buchgrundschuld, Treuhandvereinbarung
166;Briefgrundschuld, Treuhandvereinbarung
167;Eigentümerbriefgrundschuld Treuhandvereinbarung
168;Eigentümerbuchgrundschuld Treuhandvereinbarung
170;Gpfrso - Sonstige Grundpfandrechte
171;Buchgrundschuld, notariell abgetreten
172;Briefgrundschuld, notariell abgetreten
173;Eigentümerbriefgrundschuld, notariell abgetreten
174;Eigentümerbuchgrundschuld, notariell abgetreten
175;Buchgrundschuld, Sicherungsvereinbarung
176;Briefgrundschuld, Sicherungsvereinbarung
177;Eigentümerbriefgrundschuld, Sicherungsvereinbarung
178;Eigentümerbuchgrundschuld, Sicherungsvereinbarung
181;Buchhypothek privatschriftlich abgetreten
182;Briefhypothek privatschriftlich abgetreten
183;Sicherungshypothek privatschriftlich abgetreten
184;Schiffshypothek privatschriftlich abgetreten
185;Buchhypothek Treuhandvereinbarung
186;Briefhypothek Treuhandvereinbarung
187;Sicherungshypothek Treuhandvereinbarung
188;Schiffshypothek Treuhandvereinbarung
191;Buchhypothek notariell abgetreten
192;Briefhypothek notariell abgetreten
193;Sicherungshypothek notariell abgetreten
194;Schiffshypothek notariell abgetreten
195;Buchhypothek Sicherungsvereinbarung
196;Briefhypothek Sicherungsvereinbarung
197;Sicherungshypothek Sicherungsvereinbarung
198;Schiffshypothek Sicherungsvereinbarung
211;Bü - Selbstschuldn. Bürgschaft - natürliche Person
212;Bü - Selbstschuldn. Bürgschaft - juristische Person (privaten Rechts)
213;Bü - Selbstschuldn. Bürgschaft - juristische Person (sonstigen Rechts)
